;Country;Continent;Flood depth;Residential;Max residential;Residential damage (E/m2);Agricultural;Max agricultural;Agricultural damage (E/m2);Commercial;Max commercial;Commercial damage (E/m2);Industrial;Max industrial;Industrial damage (E/m2);Infrastructure;Infrastructural damage (E/m2);Transport;Transport damage (E/m2)
0;Vietnam;Asia;0;0;41.57209922;0;0;0.174859599;0;0;95.10816115;0;0;0.174859599;0;0;0;0;0
1;Vietnam;Asia;0.5;0.33;41.57209922;13.71879274;0.14;0.174859599;0.024480344;0.38;95.10816115;36.14110124;0.28;0.174859599;0.048960688;0.21;0.58557782;0.36;35.4053723
2;Vietnam;Asia;1;0.49;41.57209922;20.37032862;0.37;0.174859599;0.064698052;0.54;95.10816115;51.35840702;0.48;0.174859599;0.083932608;0.37;1.031732349;0.57;56.05850614
3;Vietnam;Asia;1.5;0.62;41.57209922;25.77470152;0.52;0.174859599;0.090926991;0.66;95.10816115;62.77138636;0.63;0.174859599;0.110161547;0.6;1.673079485;0.73;71.79422716
4;Vietnam;Asia;2;0.72;41.57209922;29.93191144;0.56;0.174859599;0.097921375;0.76;95.10816115;72.28220247;0.72;0.174859599;0.125898911;0.71;1.979810724;0.85;83.59601792
5;Vietnam;Asia;3;0.87;41.57209922;36.16772632;0.66;0.174859599;0.115407335;0.88;95.10816115;83.69518181;0.86;0.174859599;0.150379255;0.81;2.258657305;1;98.34825638
6;Vietnam;Asia;4;0.93;41.57209922;38.66205227;0.83;0.174859599;0.145133467;0.94;95.10816115;89.40167148;0.91;0.174859599;0.159122235;0.89;2.48173457;1;98.34825638
7;Vietnam;Asia;5;0.98;41.57209922;40.74065724;0.99;0.174859599;0.173111003;0.98;95.10816115;93.20599793;0.96;0.174859599;0.167865215;0.97;2.704811835;1;98.34825638
8;Vietnam;Asia;6;1;41.57209922;41.57209922;1;0.174859599;0.174859599;1;95.10816115;95.10816115;1;0.174859599;0.174859599;1;2.788465809;1;98.34825638
